state_code,region_name,year,consumption_gwh,consumption_million_kwh
NV,Nevada,2023,38249.35501,38249.35501
NH,New Hampshire,2023,10631.31298,10631.31298
NJ,New Jersey,2023,71096.93901,71096.93901
NM,New Mexico,2023,28347.49003,28347.49003
NY,New York,2023,139421.93598,139421.93598
NC,North Carolina,2023,133091.10797,133091.10797
ND,North Dakota,2023,28202.179,28202.179
OH,Ohio,2023,146640.98305,146640.98305
OK,Oklahoma,2023,68978.84001,68978.84001
OR,Oregon,2023,57984.962,57984.962
PA,Pennsylvania,2023,138710.99303,138710.99303
RI,Rhode Island,2023,7300.78799,7300.78799
SC,South Carolina,2023,81202.18501,81202.18501
SD,South Dakota,2023,13505.999,13505.999
TN,Tennessee,2023,99046.005,99046.005
TX,Texas,2023,492820.38499,492820.38499
UT,Utah,2023,33343.53701,33343.53701
VT,Vermont,2023,5364.02301,5364.02301
VA,Virginia,2023,132318.50501,132318.50501
WA,Washington,2023,89552.62999,89552.62999
WV,West Virginia,2023,32070.68699,32070.68699
WI,Wisconsin,2023,68563.90399,68563.90399
WY,Wyoming,2023,16790.115,16790.115
AL,Alabama,2024,87522.93201,87522.93201
AK,Alaska,2024,6046.50298,6046.50298
AZ,Arizona,2024,90843.28799,90843.28799
AR,Arkansas,2024,49895.81201,49895.81201
CA,California,2024,245717.14497,245717.14497
CO,Colorado,2024,56842.90401,56842.90401
CT,Connecticut,2024,27351.35502,27351.35502
DE,Delaware,2024,11373.916,11373.916
DC,District of Columbia,2024,10142.91499,10142.91499
FL,Florida,2024,255095.45803,255095.45803
GA,Georgia,2024,150003.96499,150003.96499
HI,Hawaii,2024,8952.13401,8952.13401
ID,Idaho,2024,26369.555,26369.555
IL,Illinois,2024,133226.90667,133226.90667
IN,Indiana,2024,99219.60701,99219.60701
IA,Iowa,2024,54930.42198,54930.42198
KS,Kansas,2024,41258.21004,41258.21004
KY,Kentucky,2024,74405.87098,74405.87098
LA,Louisiana,2024,95356.82898,95356.82898
ME,Maine,2024,11341.591,11341.591
MD,Maryland,2024,59018.688,59018.688
MA,Massachusetts,2024,49418.57498,49418.57498
MI,Michigan,2024,98991.014,98991.014
MN,Minnesota,2024,64562.10798,64562.10798
MS,Mississippi,2024,48684.61201,48684.61201
MO,Missouri,2024,77776.034,77776.034
MT,Montana,2024,15567.01298,15567.01298
NE,Nebraska,2024,35191.04503,35191.04503
NV,Nevada,2024,40664.63901,40664.63901
NH,New Hampshire,2024,10913.961,10913.961
NJ,New Jersey,2024,73531.424,73531.424
NM,New Mexico,2024,30296.35401,30296.35401
NY,New York,2024,140497.50099,140497.50099
NC,North Carolina,2024,136904.52597,136904.52597
ND,North Dakota,2024,29769.698,29769.698
OH,Ohio,2024,153707.37597,153707.37597
OK,Oklahoma,2024,72083.77302,72083.77302
OR,Oregon,2024,59680.701,59680.701
PA,Pennsylvania,2024,142146.51402,142146.51402
RI,Rhode Island,2024,7414.247,7414.247
SC,South Carolina,2024,83961.42802,83961.42802
SD,South Dakota,2024,13637.20398,13637.20398
TN,Tennessee,2024,102962.43502,102962.43502
TX,Texas,2024,505431.31701,505431.31701
UT,Utah,2024,34688.08298,34688.08298
VT,Vermont,2024,5458.947,5458.947
VA,Virginia,2024,138044.772,138044.772
WA,Washington,2024,89981.629,89981.629
WV,West Virginia,2024,32990.57,32990.57
WI,Wisconsin,2024,68291.42398,68291.42398
WY,Wyoming,2024,17216.90101,17216.90101
AL,Alabama,2025,89221.26994,89221.26994
AK,Alaska,2025,6118.4264,6118.4264
AZ,Arizona,2025,91552.33195,91552.33195
AR,Arkansas,2025,52962.92737,52962.92737
CA,California,2025,237957.47888,237957.47888
CO,Colorado,2025,56651.95974,56651.95974
CT,Connecticut,2025,27570.16657,27570.16657
DE,Delaware,2025,11578.45934,11578.45934
DC,District of Columbia,2025,10241.27764,10241.27764
FL,Florida,2025,257888.83995,257888.83995
GA,Georgia,2025,153565.99735,153565.99735
HI,Hawaii,2025,9136.94866,9136.94866
ID,Idaho,2025,26800.23178,26800.23178
IL,Illinois,2025,135394.78655,135394.78655
IN,Indiana,2025,103487.47704,103487.47704
IA,Iowa,2025,58568.15959,58568.15959
KS,Kansas,2025,41970.54625,41970.54625
KY,Kentucky,2025,75919.01347,75919.01347
LA,Louisiana,2025,98075.44534,98075.44534
ME,Maine,2025,11037.29262,11037.29262
MD,Maryland,2025,59502.67415,59502.67415
MA,Massachusetts,2025,51740.51545,51740.51545
MI,Michigan,2025,100118.38208,100118.38208
MN,Minnesota,2025,65737.50133,65737.50133
MS,Mississippi,2025,49610.85004,49610.85004
MO,Missouri,2025,80114.37473,80114.37473
MT,Montana,2025,15371.39074,15371.39074
NE,Nebraska,2025,37623.6576,37623.6576
NV,Nevada,2025,39845.77485,39845.77485
NH,New Hampshire,2025,11104.4225,11104.4225
NJ,New Jersey,2025,73064.16255,73064.16255
NM,New Mexico,2025,31577.50302,31577.50302
NY,New York,2025,143490.3239,143490.3239
NC,North Carolina,2025,140584.34759,140584.34759
ND,North Dakota,2025,30338.75476,30338.75476
OH,Ohio,2025,161933.97969,161933.97969
OK,Oklahoma,2025,75114.57665,75114.57665
OR,Oregon,2025,61566.82497,61566.82497
PA,Pennsylvania,2025,143317.14544,143317.14544
RI,Rhode Island,2025,7403.63762,7403.63762
SC,South Carolina,2025,85619.48826,85619.48826
SD,South Dakota,2025,13812.50448,13812.50448
TN,Tennessee,2025,106551.83746,106551.83746
TX,Texas,2025,519699.53363,519699.53363
UT,Utah,2025,35074.20381,35074.20381
